type_number,total_points,hp,attack,defense,sp_attack,sp_defense,speed
1,-0.9300639487911041,-0.9006462956011996,-0.9006697198351421,-0.7535811498543977,-0.09440114786713034,-0.1390576532466151,-0.711566365045782
1,-0.09768353524690539,-0.2724321162483276,-0.46994297527521706,-0.281394956857194,0.4257336391567006,0.453848929794638,-0.17622413184656285
1,1.0504273799864723,0.5651867895555016,0.19271355481697539,0.3931567474245256,1.1192466885218086,1.2443910405163088,0.5375655124190627
1,2.007186476014287,0.5651867895555016,0.7891044318999486,1.742260155987965,1.8821110428234273,2.0349331512379796,0.5375655124190627
0,-1.0161722674336076,-1.1519319673423483,-0.8012712403213132,-0.9559466611389136,-0.26777941020840734,-0.7319642362878681,0.002223279219843534
0,-0.09768353524690539,-0.35619400682871055,-0.40367732226599784,-0.4500328829276239,0.4257336391567006,-0.1390576532466151,0.5375655124190627
1,1.1365356986289756,0.48142489897511875,0.25897920782619466,0.22451882135409573,1.4313275607361071,0.6514844574750557,1.251355156684688
1,2.0932947946567904,0.48142489897511875,1.7830892270382372,1.337529133418933,2.1595162625694706,0.6514844574750557,1.251355156684688
1,2.0932947946567904,0.48142489897511875,0.921635737918387,0.22451882135409573,3.165110184148877,1.8372976235575618,1.251355156684688
0,-0.9683343126322167,-0.9425272408913911,-0.9338025463397518,-0.21393978642902203,-0.6145359348909613,-0.1785847587826986,-0.7829453294723445
0,-0.09768353524690539,-0.31431306153851907,-0.4368101487706074,0.2919739917822677,-0.09440114786713034,0.453848929794638,-0.2476030962731254
0,1.098265334787863,0.5233058442653102,0.22584638132158502,0.9665256960639873,0.5991119014979776,1.4420265681967264,0.46618654799250014
0,2.0550244308156778,0.5233058442653102,0.8885029114137775,1.641077400345707,2.3328945249107473,1.8372976235575618,0.46618654799250014
0,-2.1068776369053164,-0.9006462956011996,-1.530193423422725,-1.2257673428516014,-1.654805508938623,-1.9177774023703742,-0.711566365045782
0,-2.011201727302535,-0.6912415691502423,-1.8615216884688213,-0.5512156385698819,-1.4814272465973461,-1.7201418746899566,-1.2469085982450012
1,-0.19335944484968684,-0.2724321162483276,-1.0332010258535806,-0.7198535646403117,0.7724901638392546,0.453848929794638,0.1806706902862499
1,-2.1068776369053164,-1.1100510220521569,-1.364529290899677,-1.3944052689220314,-1.654805508938623,-1.9177774023703742,-0.5331189539793756
1,-2.011201727302535,-0.9006462956011996,-1.6958575559457731,-0.7198535646403117,-1.4814272465973461,-1.7201418746899566,-1.0684611871785947
1,-0.19335944484968684,-0.06302738979737028,0.45777616685385236,-1.0571294167811716,-0.7879141972322383,0.453848929794638,0.3591181013526563
1,0.7633996511781278,-0.06302738979737028,2.4457457571304295,-1.0571294167811716,-1.8281837712799,0.453848929794638,2.8573818562823456
